energy_loss,epoch,perceptual_loss,reconstruction_loss,step,train_loss
-0.0,0,0.9337486624717712,0.5642231106758118,1,1.497971773147583
0.0,0,0.939993679523468,0.6003912687301636,3,1.5403850078582764
0.0,0,0.9381069540977478,0.6445539593696594,5,1.5826609134674072
-0.0,0,0.9308456778526306,0.6332440972328186,7,1.5640897750854492
0.0,0,0.9288286566734314,0.555834174156189,9,1.4846627712249756
0.0,0,0.9128974080085754,0.5576537847518921,11,1.4705512523651123
0.0,0,0.9342277646064758,0.6214897632598877,13,1.5557174682617188
-0.0,0,0.9055105447769165,0.5671115517616272,15,1.4726221561431885
